run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_colsample_bytree,param_reg_alpha,param_reg_lambda
0,0,lgbm,default,0.6648000000000001,0.014358272876638066,0.6629006458291957,0.016790679468597185,0.6651943791261626,0.014532101964326975,0.6638956981721393,0.012345548998172454,331.0,7.211102550927978,168.6,12.97073629367277,,,,,,,
1,1,lgbm,random,0.6496000000000001,0.012815615474880646,0.6472513308001497,0.011200421633309657,0.6499195979087375,0.023805803324561215,0.6484485592110494,0.01591895929660381,323.4,11.859173664298874,176.2,6.615134163416491,137.0,0.17957772164083027,92.0,19.0,0.6511662863159199,0.14675589081711304,0.6846771895375956
2,2,lgbm,random,0.6616000000000001,0.010744300814850645,0.6586870386374458,0.013152347092876836,0.6647992371902095,0.008984148912412063,0.6616423976056933,0.008411886878842373,330.8,4.166533331199931,171.6,10.11137972781163,268.0,0.05776231172598103,92.0,32.0,0.973865305763939,0.48474909678375566,1.1410728742232146
3,3,lgbm,random,0.6706000000000001,0.007709734106958559,0.6718713531590469,0.01173699458086397,0.6615661842541191,0.012547278811226205,0.6665190923197944,0.006408934691573164,329.2,6.49307323229917,161.0,10.601886624558858,252.0,0.13622217339271572,76.0,18.0,0.7554138025988315,0.8929469543476547,2.292586177866876
4,4,lgbm,random,0.6636,0.007144228439796708,0.6625003264479223,0.009824085901924542,0.6611880116037591,0.01835328741901156,0.6616219520642928,0.008470989305562497,329.0,8.87693640846886,167.8,10.186265262597475,222.0,0.16509321832720067,89.0,11.0,0.9278104741678237,0.6090356014499725,1.6951124104274733
5,5,lgbm,random,0.6668000000000001,0.010457533169921106,0.6688636023512128,0.006012599126780617,0.6539429347167343,0.02607774977253389,0.6611387145443751,0.015676787481046246,325.4,12.93986089569745,161.0,4.0,306.0,0.16060984592660646,36.0,19.0,0.7442055943974146,0.6117438629026457,2.031815712960631
6,6,lgbm,random,0.6644,0.013514436725220935,0.6630385897212415,0.019258274800299183,0.6643879340298822,0.022309060314394315,0.6632761717829896,0.01178371497032611,330.6,11.128342194594843,168.6,17.176728442867113,301.0,0.07979697079517659,99.0,26.0,0.9925144076163026,0.09947169221801577,1.7169472339571628
7,7,lgbm,random,0.6596,0.008890444308357155,0.6586458024005797,0.010785367030458841,0.656352573270951,0.018160905318494135,0.6573223822636641,0.01044059087117062,326.6,9.00222194794152,169.4,9.308061022576076,275.0,0.06410086197396977,87.0,29.0,0.8617325889154706,0.9779895119966027,1.5769917408208673
8,8,lgbm,random,0.6582000000000001,0.010906878563548794,0.6517444121468545,0.011669169040982781,0.6728410624388903,0.01355622907145822,0.6620471109016319,0.010327611486238562,334.8,6.4621977685614045,179.0,8.508818954473059,233.0,0.08662754609903955,83.0,31.0,0.8830314628867483,0.40192511322106916,2.24417716977584
9,9,lgbm,random,0.6604,0.013865064009949623,0.6627574460979563,0.01481977614351303,0.6467083626255525,0.012493846679667957,0.6546226255951964,0.013378333552186263,321.8,6.11228271597445,163.8,8.084553172563094,226.0,0.1048695546713918,76.0,32.0,0.5710555427272692,0.21855867562607822,1.337016361020905
10,10,lgbm,random,0.6746000000000001,0.011001818031580023,0.6729779529679599,0.011231712626504246,0.6732337801911873,0.013779668872095138,0.6730708544996024,0.0115941622110908,335.0,6.81175454637056,162.8,6.241794613730893,365.0,0.07481417278284423,35.0,10.0,0.7215074738443041,0.8319113589712009,1.6666434738754725
11,11,lgbm,random,0.6792,0.016338910612400045,0.6774392892377042,0.012844247436808549,0.6776732685268236,0.026881275885167945,0.6774610278532198,0.019567130422777922,337.2,13.12097557348538,160.4,4.586937976471886,291.0,0.032921286223143685,75.0,23.0,0.9631414801634982,0.10517515603771133,0.9514254333493233
12,12,lgbm,random,0.6654000000000001,0.007116178749862884,0.6661051017838998,0.012039174567726506,0.6579557667288874,0.015990736299452378,0.6617667336716069,0.006575392919741702,327.4,8.01498596380555,164.4,11.637869220780924,255.0,0.14100745447731072,22.0,13.0,0.8618009016460737,0.3504782760049925,0.5679283425318427
13,13,lgbm,random,0.679,0.008074651695274548,0.6789595491763503,0.00739942365337533,0.6732265076402189,0.016795071144682885,0.6759946004494435,0.010572486809394339,335.0,8.461678320522472,158.4,5.0039984012787215,276.0,0.06563118300523685,45.0,45.0,0.8758307569065782,0.6073433442080506,2.088042700910767
14,14,lgbm,random,0.6636,0.011909659944767536,0.663906572818694,0.012384652486687341,0.6563493410260761,0.019821085912811606,0.659969224856731,0.013695122004353476,326.6,9.891410415102591,165.4,8.685620300243386,207.0,0.16828401577453878,42.0,17.0,0.6831411980392297,0.1490051098893279,0.9025715136170944
