trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:14:43.475641+00:00,extra,ranking_extra,1,5175,3,999,0.5300292686917762,718,281,0.49981298205116054,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 222, ""max_depth"": 8, ""min_samples_split"": 9, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:07.149977+00:00,extra,ranking_extra,2,5205,3,999,0.5134812241600762,720,279,0.49752685535445473,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 87, ""max_depth"": 4, ""min_samples_split"": 5, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:08.203595+00:00,extra,ranking_extra,3,5165,6,998,0.5686362396241716,757,241,0.49918044891516183,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 218, ""max_depth"": null, ""min_samples_split"": 9, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:17:46.038147+00:00,extra,ranking_extra,4,5245,3,1000,0.5222887638080902,723,277,0.497554753716655,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 412, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:18:33.648669+00:00,extra,ranking_extra,5,5230,6,1000,0.5322024563118938,762,238,0.49987728801868025,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 172, ""max_depth"": 5, ""min_samples_split"": 8, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:20:10.373770+00:00,extra,ranking_extra,6,5275,6,1000,0.5610858993779635,765,235,0.49699712874658597,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 405, ""max_depth"": 11, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
7,2026-06-05T11:21:56.730021+00:00,extra,ranking_extra,7,5170,6,1000,0.5801198127951498,758,242,0.4964863868960689,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 444, ""max_depth"": 14, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
8,2026-06-05T11:22:52.457055+00:00,extra,ranking_extra,8,5135,5,999,0.5474909635039775,742,257,0.49752374361393403,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 225, ""max_depth"": 7, ""min_samples_split"": 6, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:24:25.239585+00:00,extra,ranking_extra,9,5275,3,1000,0.5206098781228973,725,275,0.49753020750060334,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 390, ""max_depth"": 5, ""min_samples_split"": 3, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:26:08.185441+00:00,extra,ranking_extra,10,5195,7,997,0.5520247204154566,772,225,0.4971868346805672,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483"", ""V342""]","{""n_estimators"": 432, ""max_depth"": 9, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
11,2026-06-05T11:27:24.377925+00:00,extra,ranking_extra,11,5225,7,1000,0.563313514185464,775,225,0.4969632985577615,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483"", ""V342""]","{""n_estimators"": 315, ""max_depth"": 11, ""min_samples_split"": 7, ""min_samples_leaf"": 5, ""criterion"": ""gini"", ""class_weight"": null}"
12,2026-06-05T11:29:13.723278+00:00,extra,ranking_extra,12,5230,5,998,0.56647337670786,748,250,0.4972495459974805,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 459, ""max_depth"": 9, ""min_samples_split"": 9, ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""class_weight"": null}"
13,2026-06-05T11:30:45.028400+00:00,extra,ranking_extra,13,5210,7,1000,0.5480906937863638,774,226,0.49727041397065314,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483"", ""V342""]","{""n_estimators"": 381, ""max_depth"": 9, ""min_samples_split"": 5, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
14,2026-06-05T11:32:29.998941+00:00,extra,ranking_extra,14,5230,7,999,0.53969644300734,775,224,0.49970001717667767,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483"", ""V342""]","{""n_estimators"": 388, ""max_depth"": 6, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
15,2026-06-05T11:33:09.851216+00:00,extra,ranking_extra,15,5200,3,1000,0.5123607746267187,720,280,0.49766897727673487,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 157, ""max_depth"": 3, ""min_samples_split"": 2, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": null}"
16,2026-06-05T11:34:29.191702+00:00,extra,ranking_extra,16,5200,3,1000,0.5220617539955278,720,280,0.49994157400173517,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 295, ""max_depth"": 5, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
17,2026-06-05T11:35:23.528007+00:00,extra,ranking_extra,17,5165,6,998,0.5443896725787122,757,241,0.4973680542517898,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 219, ""max_depth"": 7, ""min_samples_split"": 8, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
18,2026-06-05T11:36:04.747613+00:00,extra,ranking_extra,18,5300,3,998,0.5275860690356109,726,272,0.4973606266526394,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 161, ""max_depth"": 10, ""min_samples_split"": 3, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
19,2026-06-05T11:37:28.188637+00:00,extra,ranking_extra,19,5155,3,1000,0.5147516672509718,717,283,0.49757273977017796,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 348, ""max_depth"": 4, ""min_samples_split"": 5, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": null}"
