trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:14:39.863329+00:00,extra,ranking_lgbm,1,5445,5,1000,0.5524854591902859,763,237,0.4995166532037592,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 222, ""max_depth"": 8, ""min_samples_split"": 9, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:00.303025+00:00,extra,ranking_lgbm,2,5395,6,1000,0.5195538539427638,773,227,0.4973448186762149,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176""]","{""n_estimators"": 87, ""max_depth"": 4, ""min_samples_split"": 5, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:01.504782+00:00,extra,ranking_lgbm,3,5240,7,1000,0.5589862939947987,776,224,0.498788528998746,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 218, ""max_depth"": null, ""min_samples_split"": 9, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:17:42.248319+00:00,extra,ranking_lgbm,4,5505,6,999,0.5299590068784703,780,219,0.4973870111738054,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176""]","{""n_estimators"": 412, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:18:26.998185+00:00,extra,ranking_lgbm,5,5440,5,995,0.5319987116141984,761,234,0.4997222223980707,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 172, ""max_depth"": 5, ""min_samples_split"": 8, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:20:02.320424+00:00,extra,ranking_lgbm,6,5375,7,1000,0.552338574279596,785,215,0.49713758048254747,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 405, ""max_depth"": 11, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
7,2026-06-05T11:21:48.991756+00:00,extra,ranking_lgbm,7,5420,7,1000,0.5727028965529571,788,212,0.49609237962982644,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 444, ""max_depth"": 14, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
8,2026-06-05T11:22:42.378936+00:00,extra,ranking_lgbm,8,5460,5,1000,0.5430274790192615,764,236,0.4973932079833965,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 225, ""max_depth"": 7, ""min_samples_split"": 6, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:24:17.286453+00:00,extra,ranking_lgbm,9,5535,5,1000,0.5289169763370045,769,231,0.49752629375430635,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 390, ""max_depth"": 5, ""min_samples_split"": 3, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:25:59.108501+00:00,extra,ranking_lgbm,10,5400,5,1000,0.557613831901326,760,240,0.49725971359992016,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 432, ""max_depth"": 9, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
