trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:14:42.396300+00:00,extra,ranking_rf,1,5295,4,998,0.560330729756712,739,259,0.4994054644223942,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 222, ""max_depth"": 8, ""min_samples_split"": 9, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:05.557071+00:00,extra,ranking_rf,2,5300,4,1000,0.5249795440002908,740,260,0.49741305555642384,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 87, ""max_depth"": 4, ""min_samples_split"": 5, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:06.486755+00:00,extra,ranking_rf,3,5205,6,999,0.5645656872032426,760,239,0.4991553690491981,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215""]","{""n_estimators"": 218, ""max_depth"": null, ""min_samples_split"": 9, ""min_samples_leaf"": 9, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:17:43.463925+00:00,extra,ranking_rf,4,5280,4,998,0.5383041357996494,738,260,0.497390679332115,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 412, ""max_depth"": 5, ""min_samples_split"": 2, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:18:30.669240+00:00,extra,ranking_rf,5,5315,4,1000,0.5384839399647734,741,259,0.4996391040494352,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 172, ""max_depth"": 5, ""min_samples_split"": 8, ""min_samples_leaf"": 8, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:20:05.965797+00:00,extra,ranking_rf,6,5180,4,1000,0.570964181001761,732,268,0.4969418668965552,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 405, ""max_depth"": 11, ""min_samples_split"": 8, ""min_samples_leaf"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
7,2026-06-05T11:21:50.989089+00:00,extra,ranking_rf,7,5315,7,1000,0.5734271083339573,781,219,0.49622849775796857,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380""]","{""n_estimators"": 444, ""max_depth"": 14, ""min_samples_split"": 3, ""min_samples_leaf"": 4, ""criterion"": ""gini"", ""class_weight"": null}"
8,2026-06-05T11:22:45.887590+00:00,extra,ranking_rf,8,5360,4,1000,0.5502121711347082,744,256,0.4973598653628263,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 225, ""max_depth"": 7, ""min_samples_split"": 6, ""min_samples_leaf"": 7, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:24:17.883331+00:00,extra,ranking_rf,9,5290,4,999,0.5359163625619373,739,260,0.49737948190934056,"[""V176"", ""V191"", ""V255"", ""V160""]","{""n_estimators"": 390, ""max_depth"": 5, ""min_samples_split"": 3, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:25:59.106358+00:00,extra,ranking_rf,10,5320,3,1000,0.5293032099201848,728,272,0.49740253656966005,"[""V176"", ""V191"", ""V255""]","{""n_estimators"": 432, ""max_depth"": 9, ""min_samples_split"": 6, ""min_samples_leaf"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
