trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:15:01.987649+00:00,lgbm,ranking_rf,1,4515,8,1000,0.8613796634072088,741,259,0.494264643130479,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 272, ""learning_rate"": 0.11892669273375274, ""num_leaves"": 84, ""min_child_samples"": 13, ""colsample_bytree"": 0.9289728088113784, ""reg_alpha"": 0.8472517387841254, ""reg_lambda"": 1.7471273935719447}"
2,2026-06-05T11:15:40.866651+00:00,lgbm,ranking_rf,2,4445,7,1000,0.8754875854455885,723,277,0.49262288272275584,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380""]","{""n_estimators"": 137, ""learning_rate"": 0.17957772164083027, ""num_leaves"": 92, ""min_child_samples"": 19, ""colsample_bytree"": 0.6511662863159199, ""reg_alpha"": 0.14675589081711304, ""reg_lambda"": 0.6846771895375956}"
3,2026-06-05T11:16:52.767041+00:00,lgbm,ranking_rf,3,4665,8,1000,0.8178689885893609,751,249,0.4927892411898306,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 268, ""learning_rate"": 0.05776231172598103, ""num_leaves"": 92, ""min_child_samples"": 32, ""colsample_bytree"": 0.973865305763939, ""reg_alpha"": 0.48474909678375566, ""reg_lambda"": 1.1410728742232146}"
4,2026-06-05T11:17:53.654873+00:00,lgbm,ranking_rf,4,4545,8,1000,0.8504124875863391,743,257,0.4923666385464001,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 252, ""learning_rate"": 0.13622217339271572, ""num_leaves"": 76, ""min_child_samples"": 18, ""colsample_bytree"": 0.7554138025988315, ""reg_alpha"": 0.8929469543476547, ""reg_lambda"": 2.292586177866876}"
5,2026-06-05T11:19:12.071688+00:00,lgbm,ranking_rf,5,4420,8,998,0.8830638830687703,734,264,0.49563535864884245,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 222, ""learning_rate"": 0.16509321832720067, ""num_leaves"": 89, ""min_child_samples"": 11, ""colsample_bytree"": 0.9278104741678237, ""reg_alpha"": 0.6090356014499725, ""reg_lambda"": 1.6951124104274733}"
6,2026-06-05T11:19:55.657338+00:00,lgbm,ranking_rf,6,4635,8,1000,0.8495454043405744,749,251,0.5007532317862904,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 306, ""learning_rate"": 0.16060984592660646, ""num_leaves"": 36, ""min_child_samples"": 19, ""colsample_bytree"": 0.7442055943974146, ""reg_alpha"": 0.6117438629026457, ""reg_lambda"": 2.031815712960631}"
7,2026-06-05T11:21:33.069606+00:00,lgbm,ranking_rf,7,4585,6,1000,0.8548235027620378,719,281,0.4929491111629346,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215""]","{""n_estimators"": 301, ""learning_rate"": 0.07979697079517659, ""num_leaves"": 99, ""min_child_samples"": 26, ""colsample_bytree"": 0.9925144076163026, ""reg_alpha"": 0.09947169221801577, ""reg_lambda"": 1.7169472339571628}"
8,2026-06-05T11:22:50.769273+00:00,lgbm,ranking_rf,8,4590,8,1000,0.802073482380137,746,254,0.49198014732434014,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 275, ""learning_rate"": 0.06410086197396977, ""num_leaves"": 87, ""min_child_samples"": 29, ""colsample_bytree"": 0.8617325889154706, ""reg_alpha"": 0.9779895119966027, ""reg_lambda"": 1.5769917408208673}"
9,2026-06-05T11:23:50.893845+00:00,lgbm,ranking_rf,9,4565,6,995,0.8041677730224289,716,279,0.4923234596358994,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215""]","{""n_estimators"": 233, ""learning_rate"": 0.08662754609903955, ""num_leaves"": 83, ""min_child_samples"": 31, ""colsample_bytree"": 0.8830314628867483, ""reg_alpha"": 0.40192511322106916, ""reg_lambda"": 2.24417716977584}"
10,2026-06-05T11:24:42.202664+00:00,lgbm,ranking_rf,10,4595,8,996,0.8446199393800722,745,251,0.4913194573263525,"[""V176"", ""V191"", ""V255"", ""V160"", ""V224"", ""V215"", ""V380"", ""V342""]","{""n_estimators"": 226, ""learning_rate"": 0.1048695546713918, ""num_leaves"": 76, ""min_child_samples"": 32, ""colsample_bytree"": 0.5710555427272692, ""reg_alpha"": 0.21855867562607822, ""reg_lambda"": 1.337016361020905}"
