trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:15:11.130850+00:00,rf,ranking_extra,1,5005,6,997,0.6375603464883964,746,251,0.4967517960067064,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 222, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:42.856990+00:00,rf,ranking_extra,2,4975,3,1000,0.6009957963556312,705,295,0.4971800982570548,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 87, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:17:04.244985+00:00,rf,ranking_extra,3,4905,3,999,0.5934066744559832,700,299,0.49957247021818796,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 218, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:19:28.998702+00:00,rf,ranking_extra,4,4885,5,995,0.6209942508052141,724,271,0.49585803837420805,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 412, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:20:34.897348+00:00,rf,ranking_extra,5,4960,3,1000,0.608989725315245,704,296,0.498566751022739,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 172, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:23:10.229223+00:00,rf,ranking_extra,6,4935,5,997,0.6253970648959365,728,269,0.4971595524210699,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215""]","{""n_estimators"": 405, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
7,2026-06-05T11:25:45.731725+00:00,rf,ranking_extra,7,5025,3,996,0.5933078648544434,707,289,0.49699664682006633,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 444, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""criterion"": ""entropy"", ""class_weight"": null}"
8,2026-06-05T11:27:05.765061+00:00,rf,ranking_extra,8,4915,3,1000,0.6215684418967534,701,299,0.4962819620339651,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 225, ""max_depth"": 9, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:29:21.370950+00:00,rf,ranking_extra,9,4990,3,1000,0.6081527265101295,706,294,0.49687997783768895,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 390, ""max_depth"": 7, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:31:59.674340+00:00,rf,ranking_extra,10,4965,6,996,0.6430721281774375,743,253,0.49368256485293466,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 432, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
11,2026-06-05T11:33:49.341573+00:00,rf,ranking_extra,11,4930,3,997,0.5847956044689793,701,296,0.49735362777484804,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 315, ""max_depth"": 4, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
12,2026-06-05T11:36:38.863287+00:00,rf,ranking_extra,12,4985,6,998,0.647084124632831,745,253,0.494405255748273,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 459, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
13,2026-06-05T11:39:00.509106+00:00,rf,ranking_extra,13,5020,6,1000,0.6454980215902889,748,252,0.4943060412998886,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 381, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
14,2026-06-05T11:41:33.117062+00:00,rf,ranking_extra,14,4990,3,1000,0.612956325490159,706,294,0.49851035903805857,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 388, ""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
15,2026-06-05T11:42:26.818199+00:00,rf,ranking_extra,15,4965,3,996,0.5910752965611494,703,293,0.49694696375960995,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 157, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
16,2026-06-05T11:44:19.088274+00:00,rf,ranking_extra,16,4985,3,995,0.6116722134266425,704,291,0.49893944456231165,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 295, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
17,2026-06-05T11:45:40.367016+00:00,rf,ranking_extra,17,4885,6,1000,0.6271001886112822,739,261,0.4948271680517564,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 219, ""max_depth"": 9, ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
18,2026-06-05T11:46:40.261693+00:00,rf,ranking_extra,18,4915,6,1000,0.6394926418165156,741,259,0.4937036747153752,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 161, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": null}"
19,2026-06-05T11:48:41.767386+00:00,rf,ranking_extra,19,4960,3,1000,0.6060206252130456,704,296,0.49740154916632207,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 348, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": null}"
20,2026-06-05T11:49:34.578628+00:00,rf,ranking_extra,20,4975,3,1000,0.5920475505985906,705,295,0.49951073285428704,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 143, ""max_depth"": 4, ""min_samples_leaf"": 3, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
21,2026-06-05T11:52:08.926656+00:00,rf,ranking_extra,21,4915,3,1000,0.6041056997597437,701,299,0.49941083416303145,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 405, ""max_depth"": 6, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
22,2026-06-05T11:53:38.527756+00:00,rf,ranking_extra,22,5140,3,1000,0.599365484736322,716,284,0.49714973783664446,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 257, ""max_depth"": 6, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
23,2026-06-05T11:56:19.120591+00:00,rf,ranking_extra,23,4965,3,999,0.6059107534525016,704,295,0.4993078472508336,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 423, ""max_depth"": 6, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
24,2026-06-05T11:57:10.309109+00:00,rf,ranking_extra,24,4810,3,1000,0.618963319712451,694,306,0.4985493286344379,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 133, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
25,2026-06-05T12:00:12.100516+00:00,rf,ranking_extra,25,4845,6,999,0.6447771963344704,736,263,0.4960284181980245,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 468, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
26,2026-06-05T12:01:23.088640+00:00,rf,ranking_extra,26,4840,3,1000,0.6302989452922166,696,304,0.4980057347215288,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 182, ""max_depth"": 10, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
27,2026-06-05T12:03:28.507114+00:00,rf,ranking_extra,27,4885,3,1000,0.6095840690335437,699,301,0.4964718617291075,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 359, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""criterion"": ""gini"", ""class_weight"": null}"
28,2026-06-05T12:03:56.614316+00:00,rf,ranking_extra,28,4865,3,989,0.6272765911453327,694,295,0.4956283401949702,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 69, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
29,2026-06-05T12:05:50.586872+00:00,rf,ranking_extra,29,4985,3,998,0.5985594654464043,705,293,0.499546674469157,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 307, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
30,2026-06-05T12:08:18.130429+00:00,rf,ranking_extra,30,4975,3,1000,0.5966602977820707,705,295,0.49704249574907483,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 421, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
31,2026-06-05T12:10:29.156034+00:00,rf,ranking_extra,31,4900,3,1000,0.6159151828807635,700,300,0.4983888510699397,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 343, ""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
32,2026-06-05T12:12:07.380328+00:00,rf,ranking_extra,32,4970,3,995,0.5875869556062584,703,292,0.49939051258269646,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 260, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
33,2026-06-05T12:13:46.071524+00:00,rf,ranking_extra,33,4975,3,1000,0.5978598051927991,705,295,0.499101655788657,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 265, ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
34,2026-06-05T12:14:11.536486+00:00,rf,ranking_extra,34,4920,3,999,0.6024743392989259,701,298,0.4962076100603128,"[""V176"", ""V255"", ""V191""]","{""n_estimators"": 70, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": null}"
35,2026-06-05T12:17:10.792467+00:00,rf,ranking_extra,35,4915,6,1000,0.6326331045663462,741,259,0.49598992577114276,"[""V176"", ""V255"", ""V191"", ""V224"", ""V215"", ""V483""]","{""n_estimators"": 467, ""max_depth"": 9, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
