trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:15:04.906708+00:00,rf,ranking_lgbm,1,5045,4,1000,0.6200429526353615,723,277,0.4975929277604423,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 222, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:37.404023+00:00,rf,ranking_lgbm,2,5105,4,997,0.5883082210025661,726,271,0.49611356246697924,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 87, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:56.774652+00:00,rf,ranking_lgbm,3,4990,4,999,0.5685491204721019,719,280,0.4991946103115939,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 218, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:19:13.411484+00:00,rf,ranking_lgbm,4,4995,5,1000,0.6117449022885593,733,267,0.49525313458983294,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 412, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:20:18.169140+00:00,rf,ranking_lgbm,5,5105,5,999,0.6156480587291244,740,259,0.497470959612753,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 172, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:22:42.552604+00:00,rf,ranking_lgbm,6,5075,4,1000,0.6036599971318263,725,275,0.49753398380498776,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 405, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
7,2026-06-05T11:25:09.718057+00:00,rf,ranking_lgbm,7,5105,4,1000,0.5724776051875861,727,273,0.4964467424638913,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 444, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""criterion"": ""entropy"", ""class_weight"": null}"
8,2026-06-05T11:26:27.494046+00:00,rf,ranking_lgbm,8,5055,5,1000,0.6312223266941157,737,263,0.4929159309790899,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 225, ""max_depth"": 9, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:28:38.662428+00:00,rf,ranking_lgbm,9,5085,5,1000,0.6098024354355778,739,261,0.49537122545322054,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 390, ""max_depth"": 7, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:31:07.024343+00:00,rf,ranking_lgbm,10,4980,5,1000,0.6407811571779024,732,268,0.4934490138711943,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 432, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
11,2026-06-05T11:32:52.372724+00:00,rf,ranking_lgbm,11,4900,4,999,0.5652778527822959,713,286,0.4967833701598125,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 315, ""max_depth"": 4, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
12,2026-06-05T11:35:28.855544+00:00,rf,ranking_lgbm,12,5045,4,1000,0.6223537049020563,723,277,0.49443186371199743,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 459, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
13,2026-06-05T11:37:40.374270+00:00,rf,ranking_lgbm,13,5105,7,1000,0.6541219380345575,767,233,0.4926840424241373,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176"", ""V160""]","{""n_estimators"": 381, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
14,2026-06-05T11:40:00.628140+00:00,rf,ranking_lgbm,14,5100,5,1000,0.6236148702353823,740,260,0.4963519591638491,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 388, ""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
15,2026-06-05T11:40:55.541296+00:00,rf,ranking_lgbm,15,5075,4,1000,0.5745744274615447,725,275,0.4960227350201274,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 157, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
16,2026-06-05T11:42:42.450647+00:00,rf,ranking_lgbm,16,4975,4,996,0.6033966976896215,717,279,0.4975443475496015,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 295, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
17,2026-06-05T11:43:59.962681+00:00,rf,ranking_lgbm,17,5055,5,1000,0.6281983601129931,737,263,0.4943005905395625,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 219, ""max_depth"": 9, ""min_samples_leaf"": 3, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
18,2026-06-05T11:44:58.702198+00:00,rf,ranking_lgbm,18,5055,5,1000,0.6331939645937866,737,263,0.493552764819842,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 161, ""max_depth"": 10, ""min_samples_leaf"": 2, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": null}"
19,2026-06-05T11:46:54.448313+00:00,rf,ranking_lgbm,19,4985,4,1000,0.5920439185444799,719,281,0.49637296035865613,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 348, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": null}"
20,2026-06-05T11:47:47.692255+00:00,rf,ranking_lgbm,20,4955,4,1000,0.5686753710036104,717,283,0.49908310220962576,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 143, ""max_depth"": 4, ""min_samples_leaf"": 3, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
21,2026-06-05T11:50:12.172109+00:00,rf,ranking_lgbm,21,5105,4,1000,0.5832025432521265,727,273,0.49829982564209324,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 405, ""max_depth"": 6, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
22,2026-06-05T11:51:39.220398+00:00,rf,ranking_lgbm,22,5180,4,1000,0.5843610753948955,732,268,0.49630643960594945,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 257, ""max_depth"": 6, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
23,2026-06-05T11:54:08.761518+00:00,rf,ranking_lgbm,23,5080,4,999,0.5910702936758112,725,274,0.49800512381152867,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 423, ""max_depth"": 6, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
24,2026-06-05T11:54:59.547366+00:00,rf,ranking_lgbm,24,4950,5,1000,0.6268585792056899,730,270,0.4966087926184462,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 133, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
25,2026-06-05T11:57:46.395841+00:00,rf,ranking_lgbm,25,5070,5,1000,0.6449695002070447,738,262,0.49571151956311804,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 468, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
26,2026-06-05T11:58:54.781428+00:00,rf,ranking_lgbm,26,4950,5,1000,0.6384986653532077,730,270,0.4945635971320162,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 182, ""max_depth"": 10, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
27,2026-06-05T12:00:54.453728+00:00,rf,ranking_lgbm,27,5035,4,999,0.5990569113015464,722,277,0.4951540823538015,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 359, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""criterion"": ""gini"", ""class_weight"": null}"
28,2026-06-05T12:01:22.166509+00:00,rf,ranking_lgbm,28,4975,6,1000,0.655024410686245,745,255,0.4929387917915982,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191"", ""V176""]","{""n_estimators"": 69, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
29,2026-06-05T12:03:12.140698+00:00,rf,ranking_lgbm,29,5090,4,1000,0.5808183747519432,726,274,0.498647067361031,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 307, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
30,2026-06-05T12:05:30.849670+00:00,rf,ranking_lgbm,30,5110,4,999,0.5725375219510193,727,272,0.4962724919254221,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 421, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": null}"
31,2026-06-05T12:07:34.117407+00:00,rf,ranking_lgbm,31,4935,5,1000,0.6243907410025734,729,271,0.49599118311783114,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 343, ""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
32,2026-06-05T12:09:08.349120+00:00,rf,ranking_lgbm,32,4915,4,999,0.5652457636157934,714,285,0.4990841300782243,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 260, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
33,2026-06-05T12:10:43.684354+00:00,rf,ranking_lgbm,33,5095,4,999,0.5800281384326519,726,273,0.49822921237225337,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 265, ""max_depth"": 5, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
34,2026-06-05T12:11:09.933734+00:00,rf,ranking_lgbm,34,5090,4,1000,0.5875512860704525,726,274,0.4955651361485714,"[""V380"", ""V215"", ""V342"", ""V255""]","{""n_estimators"": 70, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""gini"", ""class_weight"": null}"
35,2026-06-05T12:13:56.442880+00:00,rf,ranking_lgbm,35,5010,5,1000,0.6363365457493171,734,266,0.49556290650844537,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 467, ""max_depth"": 9, ""min_samples_leaf"": 3, ""min_samples_split"": 4, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
36,2026-06-05T12:15:22.416142+00:00,rf,ranking_lgbm,36,4990,5,998,0.6353415377480446,732,266,0.49412627359647315,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 251, ""max_depth"": 9, ""min_samples_leaf"": 4, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
37,2026-06-05T12:16:31.148472+00:00,rf,ranking_lgbm,37,4990,5,998,0.6353549813566517,732,266,0.4957041724704917,"[""V380"", ""V215"", ""V342"", ""V255"", ""V191""]","{""n_estimators"": 183, ""max_depth"": 9, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
