trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:15:03.590524+00:00,rf,ranking_total,1,5145,5,1000,0.6574686633905866,743,257,0.49631181837278954,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 222, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:35.549975+00:00,rf,ranking_total,2,5105,4,1000,0.6252912320962901,727,273,0.4959353765961433,"[""V176"", ""V255"", ""V191"", ""V160""]","{""n_estimators"": 87, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:54.159813+00:00,rf,ranking_total,3,4970,4,994,0.6033946464094653,716,278,0.49890576461376884,"[""V176"", ""V255"", ""V191"", ""V160""]","{""n_estimators"": 218, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:19:08.867826+00:00,rf,ranking_total,4,5135,4,1000,0.6382026805833674,729,271,0.49574650836197254,"[""V176"", ""V255"", ""V191"", ""V160""]","{""n_estimators"": 412, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:20:12.222592+00:00,rf,ranking_total,5,5255,4,1000,0.6328573080437461,737,263,0.4973760600853282,"[""V176"", ""V255"", ""V191"", ""V160""]","{""n_estimators"": 172, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:22:35.351905+00:00,rf,ranking_total,6,5090,4,1000,0.6401365902746957,726,274,0.4973677497481898,"[""V176"", ""V255"", ""V191"", ""V160""]","{""n_estimators"": 405, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
7,2026-06-05T11:25:00.549806+00:00,rf,ranking_total,7,5155,4,999,0.6094814656093692,730,269,0.49639223599682547,"[""V176"", ""V255"", ""V191"", ""V160""]","{""n_estimators"": 444, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""criterion"": ""entropy"", ""class_weight"": null}"
8,2026-06-05T11:26:17.036259+00:00,rf,ranking_total,8,5070,5,991,0.6514920798118423,735,256,0.4930357949963192,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215""]","{""n_estimators"": 225, ""max_depth"": 9, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:28:25.971264+00:00,rf,ranking_total,9,5125,6,1000,0.6237090494622868,755,245,0.4951431456629167,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 390, ""max_depth"": 7, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:30:51.637130+00:00,rf,ranking_total,10,5110,6,1000,0.6602600302965128,754,246,0.4925053250025322,"[""V176"", ""V255"", ""V191"", ""V160"", ""V215"", ""V380""]","{""n_estimators"": 432, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
