trial_id,timestamp_utc,model_type,ranking,random_seed,score,k,N,threshold,tp,fp,p_oof_mean,features,hyperparameters
1,2026-06-05T11:15:05.279953+00:00,rf,ranking_xgb,1,4835,5,999,0.6487534977241745,722,277,0.49647044717598765,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 222, ""max_depth"": 10, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
2,2026-06-05T11:15:37.685586+00:00,rf,ranking_xgb,2,4965,5,1000,0.6163646739205509,731,269,0.49606653852291566,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 87, ""max_depth"": 6, ""min_samples_leaf"": 4, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
3,2026-06-05T11:16:57.625290+00:00,rf,ranking_xgb,3,4800,5,1000,0.590532677369289,720,280,0.4989526980501504,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 218, ""max_depth"": 4, ""min_samples_leaf"": 4, ""min_samples_split"": 7, ""criterion"": ""gini"", ""class_weight"": ""balanced""}"
4,2026-06-05T11:19:15.615618+00:00,rf,ranking_xgb,4,4910,5,999,0.6244626021949052,727,272,0.49533025819988324,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 412, ""max_depth"": 7, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
5,2026-06-05T11:20:20.948050+00:00,rf,ranking_xgb,5,4955,5,999,0.6228969356398906,730,269,0.49728323645003714,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 172, ""max_depth"": 7, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
6,2026-06-05T11:22:46.980052+00:00,rf,ranking_xgb,6,4920,5,1000,0.6299886429329258,728,272,0.4969571442415623,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 405, ""max_depth"": 8, ""min_samples_leaf"": 3, ""min_samples_split"": 9, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
7,2026-06-05T11:25:15.352533+00:00,rf,ranking_xgb,7,4920,5,1000,0.5979346699070783,728,272,0.49624643414914116,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 444, ""max_depth"": 5, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""criterion"": ""entropy"", ""class_weight"": null}"
8,2026-06-05T11:26:33.776349+00:00,rf,ranking_xgb,8,4695,5,1000,0.6386643714607837,713,287,0.49285939597206435,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 225, ""max_depth"": 9, ""min_samples_leaf"": 1, ""min_samples_split"": 3, ""criterion"": ""gini"", ""class_weight"": null}"
9,2026-06-05T11:28:46.209763+00:00,rf,ranking_xgb,9,4935,5,1000,0.6211134711549637,729,271,0.4953834431240889,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 390, ""max_depth"": 7, ""min_samples_leaf"": 2, ""min_samples_split"": 3, ""criterion"": ""entropy"", ""class_weight"": null}"
10,2026-06-05T11:31:15.729180+00:00,rf,ranking_xgb,10,4760,5,999,0.6521750204319768,717,282,0.49312617384334073,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 432, ""max_depth"": 11, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
11,2026-06-05T11:33:01.596688+00:00,rf,ranking_xgb,11,4815,5,1000,0.587177031406708,721,279,0.49669353737491684,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 315, ""max_depth"": 4, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""criterion"": ""entropy"", ""class_weight"": null}"
12,2026-06-05T11:35:38.786947+00:00,rf,ranking_xgb,12,4905,5,1000,0.6541787054426309,727,273,0.49364173044590914,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 459, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""criterion"": ""entropy"", ""class_weight"": null}"
13,2026-06-05T11:37:51.095872+00:00,rf,ranking_xgb,13,4845,5,1000,0.6529066307430413,723,277,0.4941651213901813,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 381, ""max_depth"": 11, ""min_samples_leaf"": 4, ""min_samples_split"": 8, ""criterion"": ""entropy"", ""class_weight"": null}"
14,2026-06-05T11:40:12.358109+00:00,rf,ranking_xgb,14,4920,5,1000,0.6304728483573023,728,272,0.49646747646578243,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 388, ""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""criterion"": ""entropy"", ""class_weight"": ""balanced""}"
15,2026-06-05T11:41:07.556867+00:00,rf,ranking_xgb,15,4905,5,1000,0.5986734325198341,727,273,0.4959984941842969,"[""V11"", ""V160"", ""V255"", ""V176"", ""V191""]","{""n_estimators"": 157, ""max_depth"": 5, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""criterion"": ""gini"", ""class_weight"": null}"
