run_id,random_seed,model_type,config_type,acc_mean,acc_std,prec_mean,prec_std,rec_mean,rec_std,f1_mean,f1_std,tp_mean,tp_std,fp_mean,fp_std,param_n_estimators,param_max_depth,param_min_samples_split,param_min_samples_leaf,param_criterion,param_class_weight
0,0,extra,default,0.5624,0.009350935782048727,0.5689431544341181,0.010324116721356382,0.4975863211396895,0.020719432552982617,0.530687328501067,0.01437878179913052,247.6,10.34601372510205,187.6,8.731551981177232,,,,,,
1,1,extra,random,0.595,0.013326664999166156,0.6267033644958125,0.015828272538852776,0.4598288526338755,0.024671876541662075,0.5302245280031125,0.020612135986332457,228.8,12.073110618229256,136.2,7.11055553385247,87.0,4.0,5.0,9.0,gini,
2,2,extra,random,0.6066,0.013836184445142395,0.6151652665671106,0.015143546762680416,0.5594991636566387,0.018016865816179006,0.585928745579525,0.01532321440153531,278.4,8.754427451295715,174.2,8.471127433818948,218.0,,9.0,9.0,gini,balanced
3,3,extra,random,0.6172,0.02667133292507147,0.6620619395916005,0.03882932019752695,0.4714358439795399,0.028673380214024966,0.55062264188737,0.03218872175778849,234.6,14.485855169785456,119.8,14.3024473430249,412.0,5.0,2.0,4.0,gini,
4,4,extra,random,0.6148,0.013775340286178063,0.6381611262061508,0.014118606396447974,0.5209118162792012,0.022355115831763923,0.5735310294846514,0.019150706963349817,259.2,10.998181667894016,146.8,3.54400902933387,172.0,5.0,8.0,8.0,entropy,balanced
5,5,extra,random,0.621,0.007694153624668545,0.6534446040610957,0.00597783659421393,0.5072321479075255,0.02135935794156673,0.5709377122413638,0.015005646527102153,252.4,10.669582934679312,133.8,4.445222154178573,405.0,11.0,8.0,7.0,entropy,
6,6,extra,random,0.6194000000000001,0.018704010265181117,0.6431123588367644,0.019518042172977267,0.5277399335773679,0.038379079478379534,0.5792057457855346,0.028428085622953972,262.6,19.06410239166796,145.6,11.146299834474219,444.0,14.0,3.0,4.0,gini,
7,7,extra,random,0.6199999999999999,0.012712198865656575,0.6554738675357641,0.016271344661389884,0.4988081097023911,0.027944195082304446,0.5660415451740105,0.02066808987502037,248.2,13.789851340750559,130.6,11.038115781237304,225.0,7.0,6.0,7.0,gini,
8,8,extra,random,0.6115999999999999,0.016871277367170527,0.6546655228381658,0.017696631017885642,0.4630441282231542,0.035962761806467194,0.5419711750166513,0.02981340298858973,230.4,17.76063061943466,121.2,5.81033561853358,390.0,5.0,3.0,6.0,entropy,
9,9,extra,random,0.6157999999999999,0.016521501142450722,0.6527222139871606,0.019001454759651704,0.4867583008088692,0.03017872082988612,0.557297706818612,0.024636904433965455,242.2,14.837789592793126,128.8,9.239047569960876,432.0,9.0,6.0,6.0,entropy,
10,10,extra,random,0.6162,0.011196428001822734,0.6420142898571082,0.009215599689942884,0.5164844488618459,0.031477314978045096,0.5720329168621585,0.02129939706305688,257.0,15.633297796690243,143.2,7.520638270785265,315.0,11.0,7.0,5.0,gini,
11,11,extra,random,0.6228,0.01898841752226869,0.6575616609421484,0.018669885085624328,0.5036500125249489,0.03521028290691534,0.570075328906922,0.028572202730641993,250.6,17.281203661782357,130.2,6.11228271597445,459.0,9.0,9.0,1.0,entropy,
12,12,extra,random,0.6186,0.010707007051459348,0.6486990164013486,0.013102176152314095,0.5092353316687273,0.017360993107828293,0.5704781605911317,0.014802716766468162,253.4,8.777243302996677,137.2,5.741080037762929,381.0,9.0,5.0,7.0,entropy,
13,13,extra,random,0.6274,0.007088018058667747,0.6574027135451392,0.013587982471842348,0.525716548285698,0.007620699786612678,0.5840701806354085,0.0032983520746949204,261.6,4.029888335921977,136.6,9.991996797437437,388.0,6.0,2.0,1.0,entropy,balanced
14,14,extra,random,0.5919999999999999,0.011242775458044167,0.6410796567512591,0.014737349942889288,0.4107779205352598,0.045449614546154316,0.49904078878800506,0.03334795273290267,204.4,22.606193841511665,114.8,15.663971399361019,157.0,3.0,2.0,7.0,gini,
15,15,extra,random,0.6162,0.015663971399361033,0.6389942686368207,0.019670843943777532,0.5265391546063529,0.024956407968895433,0.5770355008245456,0.019414877066390706,262.0,12.296340919151518,148.2,12.056533498481228,295.0,5.0,6.0,6.0,gini,balanced
