stage,score,k,N,tp,fp,features,hp
2,5685,6,999,792,207,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']","{'n_estimators': 214, 'max_depth': 12, 'min_samples_split': 9, 'min_samples_leaf': 8, 'criterion': 'gini', 'class_weight': 'balanced'}"
2,5630,5,999,775,224,"['V255', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 234, 'max_depth': 6, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': 'balanced'}"
1,5595,5,1000,773,227,"['V255', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5580,6,999,785,214,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
2,5575,7,999,798,201,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 352, 'max_depth': 9, 'min_samples_split': 10, 'min_samples_leaf': 1, 'criterion': 'gini', 'class_weight': 'balanced'}"
2,5575,6,1000,785,215,"['V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 461, 'max_depth': 6, 'min_samples_split': 2, 'min_samples_leaf': 1, 'criterion': 'gini', 'class_weight': None}"
2,5565,5,1000,771,229,"['V255', 'V191', 'V160', 'V215', 'V380']","{'n_estimators': 514, 'max_depth': 5, 'min_samples_split': 4, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
1,5530,6,1000,782,218,"['V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
1,5490,5,1000,766,234,"['V255', 'V191', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5485,7,993,790,203,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5465,5,999,764,235,"['V255', 'V191', 'V160', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5460,5,1000,764,236,"['V255', 'V191', 'V160', 'V215', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5445,5,1000,763,237,"['V176', 'V255', 'V191', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5445,5,1000,763,237,"['V176', 'V255', 'V191', 'V160', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5445,6,999,776,223,"['V176', 'V255', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5420,5,999,761,238,"['V176', 'V255', 'V191', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5410,6,1000,774,226,"['V176', 'V255', 'V191', 'V160', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5400,5,1000,760,240,"['V255', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5400,4,998,746,252,"['V255', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5400,6,999,773,226,"['V176', 'V255', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5395,4,999,746,253,"['V255', 'V191', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5395,4,999,746,253,"['V255', 'V191', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5395,5,998,759,239,"['V176', 'V255', 'V191', 'V160', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5390,4,1000,746,254,"['V176', 'V191', 'V160', 'V215']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5380,4,996,744,252,"['V176', 'V255', 'V191', 'V160']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5375,4,1000,745,255,"['V255', 'V191', 'V160', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5370,5,1000,758,242,"['V176', 'V255', 'V191', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5365,4,999,744,255,"['V176', 'V255', 'V191', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5360,4,1000,744,256,"['V176', 'V255', 'V191', 'V215']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5355,5,1000,757,243,"['V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5355,5,997,756,241,"['V176', 'V255', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5335,5,998,755,243,"['V176', 'V255', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5335,3,1000,729,271,"['V176', 'V255', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5320,5,998,754,244,"['V176', 'V255', 'V191', 'V160', 'V215']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
1,5315,5,999,754,245,"['V176', 'V255', 'V160', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5315,5,999,754,245,"['V176', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
1,5310,6,999,767,232,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
