score,k,N,thr,tp,fp,features,hp
5595,5,1000,0.5301153799823161,773,227,"['V255', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5580,6,999,0.5398375019086763,785,214,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5530,6,1000,0.5137809307233183,782,218,"['V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 158, 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 3, 'criterion': 'gini', 'class_weight': None}"
5490,5,1000,0.5297424984057343,766,234,"['V255', 'V191', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5485,7,993,0.5355070875783168,790,203,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5465,5,999,0.5301326489381477,764,235,"['V255', 'V191', 'V160', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5460,5,1000,0.5293119528854919,764,236,"['V255', 'V191', 'V160', 'V215', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5445,5,1000,0.5448335050296643,763,237,"['V176', 'V255', 'V191', 'V215', 'V380']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5445,6,999,0.5300825691606944,776,223,"['V176', 'V255', 'V191', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5445,5,1000,0.5343289102386685,763,237,"['V176', 'V255', 'V191', 'V160', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5420,5,999,0.5461379853578383,761,238,"['V176', 'V255', 'V191', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5410,6,1000,0.5402118053639963,774,226,"['V176', 'V255', 'V191', 'V160', 'V215', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5400,6,999,0.5370866311836764,773,226,"['V176', 'V255', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 419, 'max_depth': 6, 'min_samples_split': 7, 'min_samples_leaf': 2, 'criterion': 'gini', 'class_weight': 'balanced'}"
5400,5,1000,0.5276069619699105,760,240,"['V255', 'V160', 'V215', 'V380', 'V342']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5400,4,998,0.5301326501272147,746,252,"['V255', 'V160', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
5395,4,999,0.5343923198271403,746,253,"['V255', 'V191', 'V215', 'V380']","{'n_estimators': 267, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 1, 'criterion': 'entropy', 'class_weight': None}"
