model,score,std,N,tp,fp,threshold,precision,time_s
ExtraTrees (best),5593,19.3,998,785,213,0.5551,78.7,15.0
"SVM (RBF, C=1)",5477,30.6,999,781,218,0.6811,78.2,106.6
QDA,5310,57.9,1000,769,231,0.6478,76.9,0.1
Naive Bayes,5270,7.1,1000,765,235,0.6447,76.5,0.1
Gradient Boosting,5228,113.3,1000,752,248,0.6713,75.2,23.9
AdaBoost,5220,67.5,1000,755,245,0.5271,75.5,16.2
"SVM (RBF, C=10)",5077,88.7,1000,753,247,0.6559,75.3,110.0
Random Forest,4890,28.3,1000,738,262,0.69,73.8,15.4
k-NN (k=15),4403,34.0,998,704,294,0.6,70.5,1.2
Decision Tree,4140,245.4,1000,688,312,0.661,68.8,0.4
k-NN (k=5),3870,224.6,999,689,310,0.6,69.0,0.6
"LR (L1, C=0.1)",3847,59.5,999,671,328,0.5585,67.2,0.3
LDA,3828,130.5,1000,678,322,0.5623,67.8,0.2
"LR (L2, C=1.0)",3822,124.7,1000,677,323,0.5622,67.7,0.2
SVM (linear),3810,120.8,1000,672,328,0.5566,67.2,86.3
