name,k,features,seed,score,N,tp,fp
k6_best,6,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']",0,5685,999,792,207
k6_best,6,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']",1,5425,1000,775,225
k6_best,6,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']",2,5480,992,776,216
k6_best,6,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']",42,5565,999,784,215
k6_best,6,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']",123,5455,997,776,221
k5_best,5,"['V255', 'V191', 'V215', 'V380', 'V342']",0,5630,999,775,224
k5_best,5,"['V255', 'V191', 'V215', 'V380', 'V342']",1,5390,993,757,236
k5_best,5,"['V255', 'V191', 'V215', 'V380', 'V342']",2,5355,1000,757,243
k5_best,5,"['V255', 'V191', 'V215', 'V380', 'V342']",42,5265,997,750,247
k5_best,5,"['V255', 'V191', 'V215', 'V380', 'V342']",123,5565,997,770,227
