score,k,N,tp,fp,features
5305,5,995,752,243,"['V160', 'V215', 'V224', 'V342', 'V380']"
5290,6,1000,766,234,"['V191', 'V215', 'V224', 'V255', 'V342', 'V380']"
5265,6,996,763,233,"['V160', 'V176', 'V191', 'V224', 'V255', 'V342']"
5200,6,1000,760,240,"['V160', 'V176', 'V191', 'V224', 'V255', 'V380']"
5190,5,1000,746,254,"['V160', 'V176', 'V215', 'V224', 'V342']"
5190,5,1000,746,254,"['V191', 'V215', 'V224', 'V255', 'V342']"
5175,5,1000,745,255,"['V160', 'V191', 'V224', 'V255', 'V380']"
5170,5,998,744,254,"['V160', 'V176', 'V191', 'V224', 'V380']"
5170,6,1000,758,242,"['V160', 'V191', 'V224', 'V255', 'V342', 'V380']"
5165,5,999,744,255,"['V160', 'V176', 'V191', 'V215', 'V224']"
5160,5,997,743,254,"['V160', 'V176', 'V215', 'V224', 'V380']"
5155,6,1000,757,243,"['V160', 'V191', 'V215', 'V224', 'V255', 'V342']"
5155,6,1000,757,243,"['V160', 'V176', 'V224', 'V255', 'V342', 'V380']"
5145,5,1000,743,257,"['V160', 'V176', 'V191', 'V224', 'V255']"
5145,6,999,756,243,"['V160', 'V176', 'V191', 'V224', 'V342', 'V380']"
5140,6,997,755,242,"['V160', 'V215', 'V224', 'V255', 'V342', 'V380']"
5135,5,999,742,257,"['V176', 'V191', 'V224', 'V255', 'V342']"
5135,5,999,742,257,"['V191', 'V215', 'V224', 'V342', 'V380']"
5130,5,1000,742,258,"['V176', 'V215', 'V224', 'V342', 'V380']"
5130,5,997,741,256,"['V176', 'V191', 'V215', 'V224', 'V255']"
5130,5,994,740,254,"['V191', 'V224', 'V255', 'V342', 'V380']"
5125,5,995,740,255,"['V160', 'V191', 'V215', 'V224', 'V342']"
5125,6,997,754,243,"['V160', 'V176', 'V215', 'V224', 'V255', 'V380']"
5120,5,999,741,258,"['V160', 'V176', 'V215', 'V224', 'V255']"
5120,6,998,754,244,"['V160', 'V176', 'V191', 'V215', 'V224', 'V342']"
5120,5,999,741,258,"['V191', 'V215', 'V224', 'V255', 'V380']"
5115,6,999,754,245,"['V160', 'V176', 'V191', 'V215', 'V224', 'V255']"
5115,5,1000,741,259,"['V215', 'V224', 'V255', 'V342', 'V380']"
5110,6,1000,754,246,"['V176', 'V191', 'V215', 'V224', 'V255', 'V380']"
5110,6,1000,754,246,"['V176', 'V191', 'V224', 'V255', 'V342', 'V380']"
5110,6,1000,754,246,"['V160', 'V176', 'V191', 'V215', 'V224', 'V380']"
5110,6,1000,754,246,"['V176', 'V215', 'V224', 'V255', 'V342', 'V380']"
5100,5,1000,740,260,"['V176', 'V191', 'V215', 'V224', 'V342']"
5100,5,1000,740,260,"['V160', 'V215', 'V224', 'V255', 'V342']"
5095,6,1000,753,247,"['V160', 'V191', 'V215', 'V224', 'V342', 'V380']"
5085,5,1000,739,261,"['V160', 'V215', 'V224', 'V255', 'V380']"
5085,6,999,752,247,"['V176', 'V191', 'V215', 'V224', 'V342', 'V380']"
5080,6,1000,752,248,"['V160', 'V191', 'V215', 'V224', 'V255', 'V380']"
5075,5,999,738,261,"['V160', 'V176', 'V191', 'V224', 'V342']"
5070,5,1000,738,262,"['V160', 'V191', 'V224', 'V255', 'V342']"
5070,5,1000,738,262,"['V160', 'V191', 'V224', 'V342', 'V380']"
5070,5,1000,738,262,"['V160', 'V176', 'V224', 'V255', 'V380']"
5060,5,999,737,262,"['V176', 'V191', 'V224', 'V255', 'V380']"
5055,5,1000,737,263,"['V160', 'V224', 'V255', 'V342', 'V380']"
5055,5,997,736,261,"['V176', 'V191', 'V215', 'V224', 'V380']"
5055,5,1000,737,263,"['V160', 'V191', 'V215', 'V224', 'V255']"
5050,6,1000,750,250,"['V160', 'V176', 'V215', 'V224', 'V342', 'V380']"
5040,5,1000,736,264,"['V160', 'V191', 'V215', 'V224', 'V380']"
5035,5,998,735,263,"['V160', 'V176', 'V224', 'V255', 'V342']"
5015,5,996,733,263,"['V160', 'V176', 'V224', 'V342', 'V380']"
5000,5,999,733,266,"['V176', 'V224', 'V255', 'V342', 'V380']"
4995,5,1000,733,267,"['V176', 'V215', 'V224', 'V255', 'V342']"
4980,6,999,745,254,"['V176', 'V191', 'V215', 'V224', 'V255', 'V342']"
4975,6,1000,745,255,"['V160', 'V176', 'V215', 'V224', 'V255', 'V342']"
4920,5,1000,728,272,"['V176', 'V215', 'V224', 'V255', 'V380']"
4905,5,1000,727,273,"['V176', 'V191', 'V224', 'V342', 'V380']"
