score,k,N,thr,tp,fp,features,hp
5705,5,999,0.7419988614844374,780,219,"['V255', 'V191', 'V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5625,5,1000,0.7243283250260745,775,225,"['V176', 'V191', 'V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5590,6,1000,0.7796050364830254,786,214,"['V176', 'V255', 'V191', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5590,6,1000,0.7595090941658351,786,214,"['V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5565,6,999,0.7369410043628966,784,215,"['V176', 'V191', 'V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'auto'}"
5535,6,999,0.7627752247617732,782,217,"['V176', 'V255', 'V191', 'V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5525,4,1000,0.7318241645872843,755,245,"['V176', 'V255', 'V160', 'V215']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5515,5,998,0.7649930355458925,767,231,"['V176', 'V255', 'V191', 'V215', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5510,5,996,0.7412924215500182,766,230,"['V176', 'V255', 'V160', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5490,5,1000,0.745244963550617,766,234,"['V176', 'V191', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5490,5,1000,0.7402002196276036,766,234,"['V176', 'V255', 'V191', 'V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5480,4,1000,0.705606510489734,752,248,"['V255', 'V160', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5480,4,1000,0.6768423544013586,752,248,"['V255', 'V191', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5475,5,1000,0.76487652504144,765,235,"['V176', 'V255', 'V191', 'V160', 'V215']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5465,5,996,0.7414160716191723,763,233,"['V176', 'V255', 'V191', 'V380', 'V342']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5465,7,1000,0.8370170286398679,791,209,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380', 'V342']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5455,4,999,0.704768374720508,750,249,"['V176', 'V255', 'V191', 'V215']","{'kernel': 'rbf', 'C': 1.0, 'gamma': 'scale'}"
5455,6,1000,0.7852542617519462,777,223,"['V176', 'V255', 'V191', 'V160', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5445,5,994,0.7519515323345671,761,233,"['V176', 'V255', 'V191', 'V215', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5440,4,999,0.7276895956075828,749,250,"['V255', 'V191', 'V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5435,4,1000,0.7316309705406203,749,251,"['V176', 'V255', 'V191', 'V160']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5435,4,1000,0.7154792794933558,749,251,"['V176', 'V191', 'V160', 'V215']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
5420,4,1000,0.6965514172330101,748,252,"['V176', 'V191', 'V160', 'V380']","{'kernel': 'rbf', 'C': 0.1, 'gamma': 'scale'}"
